Station_ID ,Station_Name,Address,Latitude,Longitude,Total_Reviews,Open_24_Hours,Google_Maps_URL,Open_24_Hours,Decision_Score
ChIJl3n6J3tt04URd3gaxhBINo4,OXXO GAS,"Queretaro - Ixmiquilpan 14, 76821 El Sauz, Qro., Mexico",20.454691,-100.089102,319,TRUE,https://www.google.com/maps/search/?api=1&query=OXXO%20GAS&query_place_id=ChIJl3n6J3tt04URd3gaxhBINo4,TRUE,88
ChIJQ6QMW_Cd04URV_p78OVA93k,Mobil Tequisquiapan,"Carretera, Estatal 200 no 265, Grande, 76799 Qro., Mexico",20.5378491,-99.8928551,254,TRUE,https://www.google.com/maps/search/?api=1&query=Mobil%20Tequisquiapan&query_place_id=ChIJQ6QMW_Cd04URV_p78OVA93k,TRUE,87
ChIJLelbCtOf04URNEijn_Y7fLc,TotalEnergies Centenario,"Carretera Jalpan-San Juan del Río Carretera Federal 120 Sjr, Federal 120 San Juan del Río-Xilitla 3, Poniente, 76750 Tequisquiapan, Qro., Mexico",20.5182649,-99.8988359,54,TRUE,https://www.google.com/maps/search/?api=1&query=TotalEnergies%20Centenario&query_place_id=ChIJLelbCtOf04URNEijn_Y7fLc,TRUE,77
ChIJV-lmOHsL04UR84N9BBOj92U,Mobil Avenida Central,"Av Río Moctezuma no 1, Z/O Secc 8, San Cayetano, 76806 San Juan del Río, Qro., Mexico",20.388382,-99.984212,280,TRUE,https://www.google.com/maps/search/?api=1&query=Mobil%20Avenida%20Central&query_place_id=ChIJV-lmOHsL04UR84N9BBOj92U,TRUE,87
ChIJxznk7XZt04URuftkJrvn4YA,Pemex Gasolinera,"San Juan del Río-Pedro Escobedo 177, 76729 El Sauz, Qro., Mexico",20.461568,-100.0958025,508,TRUE,https://www.google.com/maps/search/?api=1&query=Pemex%20Gasolinera&query_place_id=ChIJxznk7XZt04URuftkJrvn4YA,TRUE,88
ChIJswdU9NgM04URmBL1DYS_UAs,Pemex - 12315,"Nochebuena, 76820 Loma Linda, Qro., Mexico",20.4068235,-100.0343716,494,TRUE,https://www.google.com/maps/search/?api=1&query=Pemex%20-%2012315&query_place_id=ChIJswdU9NgM04URmBL1DYS_UAs,TRUE,90
ChIJLWDnsvl31IURBJvhzN9GGZo,"Viza Luan Gasolineria, S.A. DE C.V.","Carr. S.J.R.- Xilitla Km. 73.2. Vizarron de Vizarron, 76526 Cadereyta de Montes, Qro., Mexico",20.8274282,-99.7205198,84,TRUE,https://www.google.com/maps/search/?api=1&query=Viza%20Luan%20Gasolineria%2C%20S.A.%20DE%20C.V.&query_place_id=ChIJLWDnsvl31IURBJvhzN9GGZo,TRUE,79
ChIJAXzsI8pt04URDm0mTCExiYs,Chevron,"México Querétaro KM 175, México 45D 177, 76729 El Sauz, Qro., Mexico",20.4621846,-100.0967635,191,TRUE,https://www.google.com/maps/search/?api=1&query=Chevron&query_place_id=ChIJAXzsI8pt04URDm0mTCExiYs,TRUE,86
ChIJMbDuW7dt04UR3GiUi1qd4Uw,Pemex,"Autopista Mexico - Queretaro Tramo Palmillas Qr Km 175 32, 76729 Qro., Mexico",20.4624703,-100.0983569,1946,TRUE,https://www.google.com/maps/search/?api=1&query=Pemex&query_place_id=ChIJMbDuW7dt04UR3GiUi1qd4Uw,TRUE,92
ChIJvUHgLIRz04UR2guVVB0E6_A,G500,"Queretaro - Ixmiquilpan 135, Nuevo Espiritu Santo, 76815 La Estancia, Qro., Mexico",20.4230169,-100.0510449,926,TRUE,https://www.google.com/maps/search/?api=1&query=G500&query_place_id=ChIJvUHgLIRz04UR2guVVB0E6_A,TRUE,92
